transaction_id,action,success,recovered_amount
transaction-1,retry_after_delay,True,25.0
transaction-1,retry_immediately,True,24.5
transaction-2,retry_after_delay,True,64.08
transaction-3,use_another_payment_method,False,0.0
transaction-4,send_payment_reminder,True,38.45
transaction-5,retry_immediately,False,0.0
transaction-6,retry_after_delay,True,95.95
transaction-7,use_another_payment_method,True,25.36
transaction-8,send_payment_reminder,True,59.35
transaction-9,retry_immediately,True,110.96
transaction-10,retry_after_delay,True,121.02
transaction-11,use_another_payment_method,False,0.0
transaction-12,send_payment_reminder,False,0.0
transaction-13,retry_immediately,False,0.0
transaction-14,retry_after_delay,True,176.47
transaction-15,use_another_payment_method,False,0.0
transaction-16,send_payment_reminder,False,0.0
transaction-17,retry_immediately,False,0.0
transaction-18,retry_after_delay,True,58.76
transaction-19,use_another_payment_method,False,0.0
transaction-20,send_payment_reminder,True,36.69
transaction-21,retry_immediately,True,84.62
transaction-22,retry_after_delay,True,128.67
transaction-23,use_another_payment_method,True,165.28
transaction-24,send_payment_reminder,False,0.0
transaction-25,retry_immediately,False,0.0
transaction-26,retry_after_delay,True,186.01
transaction-27,use_another_payment_method,True,34.18
transaction-28,send_payment_reminder,False,0.0
transaction-29,retry_immediately,True,133.16
transaction-30,retry_after_delay,False,0.0
transaction-31,use_another_payment_method,True,146.82
transaction-32,send_payment_reminder,False,0.0
transaction-33,retry_immediately,False,0.0
transaction-34,retry_after_delay,True,197.34
transaction-35,use_another_payment_method,True,175.97
transaction-36,send_payment_reminder,True,88.42
transaction-37,retry_immediately,True,134.42
transaction-38,retry_after_delay,False,0.0
transaction-39,use_another_payment_method,True,86.63
transaction-40,send_payment_reminder,True,57.71
transaction-41,retry_immediately,False,0.0
transaction-42,retry_after_delay,True,143.04
transaction-43,use_another_payment_method,True,32.85
transaction-44,send_payment_reminder,False,0.0
transaction-45,retry_immediately,True,64.07
transaction-46,retry_after_delay,False,0.0
transaction-47,use_another_payment_method,True,198.11
transaction-48,send_payment_reminder,True,135.2
transaction-49,retry_immediately,True,120.25
transaction-50,retry_after_delay,True,171.71
transaction-51,use_another_payment_method,True,159.68
transaction-52,send_payment_reminder,True,61.23
transaction-53,retry_immediately,False,0.0
transaction-54,retry_after_delay,True,68.19
transaction-55,use_another_payment_method,True,57.98
transaction-56,send_payment_reminder,False,0.0
transaction-57,retry_immediately,True,177.75
transaction-58,retry_after_delay,True,58.27
transaction-59,use_another_payment_method,True,109.86
transaction-60,send_payment_reminder,False,0.0
transaction-61,retry_immediately,False,0.0
transaction-62,retry_after_delay,True,45.13
transaction-63,use_another_payment_method,False,0.0
transaction-64,send_payment_reminder,True,117.02
transaction-65,retry_immediately,True,97.12
transaction-66,retry_after_delay,False,0.0
transaction-67,use_another_payment_method,True,85.16
transaction-68,send_payment_reminder,False,0.0
transaction-69,retry_immediately,True,44.9
transaction-70,retry_after_delay,False,0.0
transaction-71,use_another_payment_method,True,28.48
transaction-72,send_payment_reminder,False,0.0
transaction-73,retry_immediately,False,0.0
transaction-74,retry_after_delay,True,127.35
transaction-75,use_another_payment_method,True,89.26
transaction-76,send_payment_reminder,True,127.26
transaction-77,retry_immediately,True,104.25
transaction-78,retry_after_delay,False,0.0
transaction-79,use_another_payment_method,False,0.0
transaction-80,send_payment_reminder,False,0.0
transaction-81,retry_immediately,False,0.0
transaction-82,retry_after_delay,False,0.0
transaction-83,use_another_payment_method,True,158.35
transaction-84,send_payment_reminder,False,0.0
transaction-85,retry_immediately,True,72.83
transaction-86,retry_after_delay,False,0.0
transaction-87,use_another_payment_method,False,0.0
transaction-88,send_payment_reminder,True,194.94
transaction-89,retry_immediately,True,157.15
transaction-90,retry_after_delay,True,111.38
transaction-91,use_another_payment_method,True,176.69
transaction-92,send_payment_reminder,True,171.5
transaction-93,retry_immediately,True,111.38
transaction-94,retry_after_delay,False,0.0
transaction-95,use_another_payment_method,True,157.25
transaction-96,send_payment_reminder,False,0.0
transaction-97,retry_immediately,False,0.0
transaction-98,retry_after_delay,True,185.33
transaction-99,use_another_payment_method,True,127.81
transaction-100,send_payment_reminder,True,107.95
transaction-101,retry_immediately,False,0.0
transaction-102,retry_after_delay,True,85.34
transaction-103,use_another_payment_method,True,63.1
transaction-104,send_payment_reminder,False,0.0
transaction-105,retry_immediately,True,122.12
transaction-106,retry_after_delay,True,35.42
transaction-107,use_another_payment_method,True,166.88
transaction-108,send_payment_reminder,True,196.04
transaction-109,retry_immediately,False,0.0
transaction-110,retry_after_delay,True,42.64
transaction-111,use_another_payment_method,False,0.0
transaction-112,send_payment_reminder,False,0.0
transaction-113,retry_immediately,False,0.0
transaction-114,retry_after_delay,True,129.19
transaction-115,use_another_payment_method,True,187.2
transaction-116,send_payment_reminder,True,155.95
transaction-117,retry_immediately,True,148.33
transaction-118,retry_after_delay,True,91.82
transaction-119,use_another_payment_method,True,98.86
transaction-120,send_payment_reminder,False,0.0
transaction-121,retry_immediately,False,0.0
transaction-122,retry_after_delay,False,0.0
transaction-123,use_another_payment_method,True,23.79
transaction-124,send_payment_reminder,False,0.0
transaction-125,retry_immediately,True,59.64
transaction-126,retry_after_delay,False,0.0
transaction-127,use_another_payment_method,True,133.6
transaction-128,send_payment_reminder,False,0.0
transaction-129,retry_immediately,False,0.0
transaction-130,retry_after_delay,True,112.55
transaction-131,use_another_payment_method,True,140.42
transaction-132,send_payment_reminder,True,58.56
transaction-133,retry_immediately,False,0.0
transaction-134,retry_after_delay,False,0.0
transaction-135,use_another_payment_method,True,63.74
transaction-136,send_payment_reminder,False,0.0
transaction-137,retry_immediately,False,0.0
transaction-138,retry_after_delay,False,0.0
transaction-139,use_another_payment_method,True,83.77
transaction-140,send_payment_reminder,False,0.0
transaction-141,retry_immediately,False,0.0
transaction-142,retry_after_delay,True,29.75
transaction-143,use_another_payment_method,True,30.91
transaction-144,send_payment_reminder,True,164.11
transaction-145,retry_immediately,True,39.67
transaction-146,retry_after_delay,True,54.49
transaction-147,use_another_payment_method,True,100.75
transaction-148,send_payment_reminder,False,0.0
transaction-149,retry_immediately,False,0.0
transaction-150,retry_after_delay,False,0.0
transaction-151,use_another_payment_method,True,186.19
transaction-152,send_payment_reminder,True,165.44
transaction-153,retry_immediately,True,174.07
transaction-154,retry_after_delay,True,37.62
