attempt_id,transaction_id,action,timestamp,outcome
17481a46-c084-453f-845b-7fdb7fdf8485,ccda1606-d32a-4edb-85e0-d9f999a40f25,send_payment_reminder,2026-08-30 04:16:18.963378,failure
b9659f1b-4c4b-48e1-aeb4-344123710b92,ccda1606-d32a-4edb-85e0-d9f999a40f25,use_another_payment_method,2026-08-30 08:16:18.963378,failure
7ca543a6-6515-4771-9aa9-bf841c3a5711,ccda1606-d32a-4edb-85e0-d9f999a40f25,retry_immediately,2026-09-01 08:16:18.963378,failure
b5382ad5-b557-4dac-8a1f-e26245b3f5db,aa2bfdaf-61d1-4097-80a2-f8638b6a46b2,use_another_payment_method,2026-08-30 14:16:18.963391,failure
571be1d7-c816-40b6-a87f-3c8a66588c01,26be5144-df06-4121-823d-9029413a3996,send_payment_reminder,2026-08-31 11:16:18.963428,failure
30591098-26ea-49ad-ad28-87fc3cd6632c,26be5144-df06-4121-823d-9029413a3996,send_payment_reminder,2026-09-01 06:16:18.963428,failure
9e440ac6-c899-412c-8ad3-c2795e728013,a5afe17c-85d7-4bf4-a8d5-8a452266d7d6,send_payment_reminder,2026-08-31 23:16:18.963432,failure
3bd19f49-e43a-4634-b475-28e729ef74b2,a5afe17c-85d7-4bf4-a8d5-8a452266d7d6,retry_after_delay,2026-09-01 20:16:18.963432,failure
f90aa1c8-aee6-40c2-b06f-0733575099d2,f01a94d3-2aed-4e8f-baaf-362cbdbc2201,use_another_payment_method,2026-08-30 01:16:18.963435,success
c42d89ad-1a0b-4fdb-abfd-830cab5002c6,86367896-5d18-4df1-97d6-893761c3233a,use_another_payment_method,2026-08-30 01:16:18.963439,success
d79e8e73-7c03-4049-9100-fd2c84ef34bb,cb110fef-d95f-475f-a23a-512e0c1379ab,use_another_payment_method,2026-09-01 18:16:18.963472,failure
b3d7b427-917d-41af-bb9e-2ae6e0c4ba8b,337fde1f-2767-4db1-80a1-5e817a7ed1ff,use_another_payment_method,2026-08-31 16:16:18.963475,success
5d9cbaa0-d0fe-4fdf-8151-4cff53dc195b,337fde1f-2767-4db1-80a1-5e817a7ed1ff,retry_after_delay,2026-08-31 10:16:18.963475,failure
